id,title,year,country,us_public_domain_date,print_status,trademark_watch,uraa_note,score_note,dossier_url
arrowsmith-1931,Arrowsmith,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/arrowsmith-1931/
be-big-1931,Be Big!,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/be-big-1931/
behind-office-doors-1931,Behind Office Doors,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/behind-office-doors-1931/
branded-1931,Branded,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/branded-1931/
chickens-come-home-1931,Chickens Come Home,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/chickens-come-home-1931/
cimarron-1931,Cimarron,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/cimarron-1931/
city-lights-1931,City Lights,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/city-lights-1931/
come-clean-1931,Come Clean,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/come-clean-1931/
dr-jekyll-and-mr-hyde-1931,Dr. Jekyll and Mr. Hyde,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/dr-jekyll-and-mr-hyde-1931/
dracula-1931,Dracula,1931,US,2027-01-01,protected_until_2027-01-01,True,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/dracula-1931/
frankenstein-1931,Frankenstein,1931,US,2027-01-01,protected_until_2027-01-01,True,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/frankenstein-1931/
kept-husbands-1931,Kept Husbands,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/kept-husbands-1931/
little-caesar-1931,Little Caesar,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/little-caesar-1931/
lonely-wives-1931,Lonely Wives,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/lonely-wives-1931/
love-business-1931,Love Business,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/love-business-1931/
m-1931,M,1931,DE,2027-01-01,protected_until_2027-01-01,False,Foreign work: US status also turns on URAA restoration (17 U.S.C. 104A; Golan v. Holder). Term expiry still ends it.,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/m-1931/
millie-1931,Millie,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/millie-1931/
monkey-business-1931,Monkey Business,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/monkey-business-1931/
one-good-turn-1931,One Good Turn,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/one-good-turn-1931/
pardon-us-1931,Pardon Us,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/pardon-us-1931/
possessed-1931,Possessed,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/possessed-1931/
svengali-1931,Svengali,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/svengali-1931/
the-champ-1931,The Champ,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-champ-1931/
the-criminal-code-1931,The Criminal Code,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-criminal-code-1931/
the-front-page-1931,The Front Page,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-front-page-1931/
the-lady-refuses-1931,The Lady Refuses,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-lady-refuses-1931/
the-maltese-falcon-1931,The Maltese Falcon,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-maltese-falcon-1931/
the-public-defender-1931,The Public Defender,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-public-defender-1931/
the-public-enemy-1931,The Public Enemy,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-public-enemy-1931/
the-sin-of-madelon-claudet-1931,The Sin of Madelon Claudet,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-sin-of-madelon-claudet-1931/
the-smiling-lieutenant-1931,The Smiling Lieutenant,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-smiling-lieutenant-1931/
the-speckled-band-1931,The Speckled Band,1931,UK,2027-01-01,protected_until_2027-01-01,False,Foreign work: US status also turns on URAA restoration (17 U.S.C. 104A; Golan v. Holder). Term expiry still ends it.,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-speckled-band-1931/
the-stolen-jools-1931,The Stolen Jools,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/the-stolen-jools-1931/
trader-horn-1931,Trader Horn,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/trader-horn-1931/
waterloo-bridge-1931,Waterloo Bridge,1931,US,2027-01-01,protected_until_2027-01-01,False,,Any score you hear on a modern copy is a separately protected recording. The images expiring does not free that audio.,https://bitgitty.github.io/rightsatlas/film/waterloo-bridge-1931/
